 SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/01/2023-31/01/2023,,
,,
Product Name,Qty.,Amount
YALAKI 10RS,14,140
MTR SEMIYA 900G,2,140
LAVANG,0.155,139.5
MTR SEMIYA 200GM,8,137
MTR D POW 100G,4,136
DOSA RICE FINE,4,132
MTR PULIOGARE 20,1,130
BRU 2RS,65,130
M MOGGU,0.1,130
DOVE SHAMPO 2RS,65,130
COL SALT 100,2,128
CYCLE DOOPA 72,2,125
VIM SET 130,1,125
HORLICKS 200G (B,1,125
MARRE GOLD 1KG,1,120
COTHAS 200G,1,120
APLA MASALA 70RS,2,120
AA DP 100GM,4,120
SUNDROP CHOCAS,2,118
PICKLE 60RS,2,118
DABUR HONEY 250G,1,115
AA GARAM 50GM,4,115
MTR TOMOTO 15RS,8,112.5
COL BRUSH 20RS,6,112
SSP 1G,6,111
MOMS MAGIC 1KG,1,110
ASH SEMIYA R,2,110
DRY GRAPES 10RS,11,110
SOYA CHUNKS 200G,2,110
WHEEL POWDER 500,3,108
MTR BISIBELE 10R,9,108
TIDE SET,1,105
DHEPAM OIL 500ML,1,105
LIZOL 500ML,1,100
DOMEX TOILET,1,100
AA TP 500GM,1,100
GRB TP 500G,1,100
SURF LIQ 10RS,10,100
LAVANGA 10RS,10,100
WHEEL SOAP 10RS,10,96.5
GRB 50ML,2,96
MEDIMEX SET,1,93
CORN FLOUR,2,92
CLOSE UP 100,2,92
K.DEVAN 100GM,3,92
MEDIMIX S,3,91
MAGGI 6PACK,1,90
T.STICKS,0.45,90
MANGAL DEEP DOOP,6,90
AA CP 100GM,2.5,90
3ROSES 100G,1,83
SANDIGE 500GM,1,80
KASURI METHY 25G,4,80
CASEW JH 10RS,8,80
TOMOTO SAUCE,5,80
PICKLE 20RS,4,80
K.DEVAN 250GM,1,77
G LABLE 200G,1,77
SUNPURE 500ML,1,75
TATA GOLD 100G,2,74.28
L G PKT,1,74
EV CHAT 50GM,1,70
MTR VANGIBATH 10,1,68
LIFE BOY 10RS,7,67.5
SOUMF L,0.24,67.2
MTR SP 100G,1,65
MTR RASAM 100G,1,65
DABUR HONEY 100G,1,62
NYLON SAIGO 500G,1,60
AA PEPPER PO 50G,2,60
TASTING POWDAR,0.3,60
DALDA 200ML,2,60
OMA 100GM,2,60
KIS JAM 20RS,3,57
SOUMP 50G,4.1,51.5
U YELLU,0.25,50
SUNDROP BUTTER 2,1,50
MTR RASAM 10RS,5,50
AA JEERA PO 50GM,2,50
MASUR BLACK,0.5,49
SH CHIKEN,1,48
PATANJALI 100GM,1,48
MALGUDI 50RS,1,47
MANGALDEEP 50RS,1,46
MTR CP 100GM,1,45
ASH SEMIYA 500,1,45
GINGER GARLIC 5R,9,45
PALAV LEAF LOOSE,0.15,42
MTR 10RS,4,40
SCBRITE 10RS,4,40
SODA,4,40
DABUR HONEY 50G,1,40
CHETA MBOX,4,40
STAR KESAR,4,40
VIM LIQ 20RS,2,39
DET REF,1,38
LIFE BOY REF 40R,1,37
YIPPEE 12RS,3,36
BLECHING POWDER,2,36
STEEL SCRUB,3,36
AA BIRIYANI 50GM,1,35
MTR LIME 15RS,2,30
SUN SILK 1RS,30,30
RIN 5 RS,6,30
TEJU 10RS,3,30
JEERA 10RS,3,30
CAMPAR 20RS,3,30
AA SP 10RS,3,30
HOMELITE,3,30
APLA 30RS,1,28
VIM 25RS,1,27
RAGI FLOUR,0.72,26.8
ARASAN SOAP 250G,1,25
SH SP 50GM,1,25
SURF EL 10RS,2,20
SOYA SAUCE,1,20
CYCLE 10RS,2,20
SUNRISE 10RS,2,20
FAIR N LOVELY 20,1,20
MTR PALAV 10RS,2,20
SAIGO 100GM,1,18
KUNKMA 10RS,1,18
B THILL 50G,1,16
ACT 15RS,1,15
PATTA 10RS,1,10
BADAM SEEDS 10RS,1,10
BRU 10RS,1,10
AA APPALA,1,10
ANNAS FLOR 10RS,1,10
GRB 10RS,1,10
,-----,-----------
SubTotal,12830.095,714940.8
,,
Discount                       -59.49,,
,,
Tax Details :,,
  GST Collected                  3.71,,
-------------------------------------,,
715004,,
-------------------------------------,,
