SRI VIGNESHWARA RICE TRADERS,,
,,
Sales Summary  01/05/2023-31/05/2023,,
,,
Product Name,Qty.,Amount
QUAKAR OATS 1KG,1,195
MAGGI 8PACK,2,195
H N S SHAMPO 200,1,195
PICKLE 50RS,4,194
RED LABELE NC 10,3,192
MEDMIX B,4,192
LIFEBOY 1=1,1,190
SOUMF 100GM,4,188
JEERA 50GM,5,185
MTR SEMIYA 500G,4,181
CLOSUP OFFER,1,180
SURF XL 10RS,12,180
COTHAS 100G,3,180
AVALAKKI 500GM P,2.5,180
LEVISTA 2RS,90,180
HIDE N SICK 60RS,3,180
VIM LIQ 20RS,9,176.5
MARRE GOLD 10RS,17.1,171
U YELLU,1,170
PANCHAMI 500MLB,2,170
HAMAM SOAP,4,169.5
STEEL SCRUB,10,166
SAFOLA GOLD,1,165
MTR PEPPER POW 5,2,160
KIS JAM 500,1,160
BADAM SEEDS 100G,2,160
OREO 10RS,16,160
SOYA CHUNKS 200G,3,160
J SOAP 55RS,3,159
SSP RED 5GM,1,155
ARIEL 500GM,2,154
JAPATRE L,0.055,154
HIMALAYA FACE WA,2,154
SH CHIKEN,3,152
B L AVALAKI M,4,152
GOOD KNGHT LIQUI,2,150
AA PEPPER PO 50G,6,150
JOLA POW 1KG,3,150
AA JEERA PO 50GM,6,150
GRB CP 100GM,4,150
HIMALAYA BABY CR,1,147
BASMATHI RICE,1,145
MACRONI LOOSE,1,145
TATA GOLD 250G,1,145
EVEREADY S,8,144
COL HERBAL 100,2,144
CYCLE DOOPA 72,2,142
SWA GARAM 200,2,140
TEJU GARAM 500GM,1,140
P CHUTE 100ML,4,140
KIS SQUASH,1,140
SUNRISE 2RS,70,140
SURF 10RS,14,140
BAJAJ ALMOND,1,136
LUX INT,2,136
MTR VANGIBATH 10,2,136
SOYA BEAN,1,135
PARRY`S SUGAR 1K,3,132
MESWAK 100GM,2,130
BUSH COLOR OR,2,130
SENSODENE 140,1,130
MY SANDEL S,3,125.5
SSP 5GM GREEN,1,125
AA TP 100GM,4.5,125
COL MAX 100GM,2,122
ANNAPURNA ATTA 1,2,120
SENSODENE 125,1,120
HIMALAYA SOAP 62,2,120
BROOM RED,3,120
HAND GLOVES,2,120
HEAD CAPS,2,120
GOOD DAY 10RS,12,120
FAIR N LOVELY 25,2,120
DABUR PASTE 200G,1,117
EV TIKALAL 100,2,116
AA GARAM 50GM,3,115
EXO ROUND B,2,115
VIM TUB 60RS,2,114
MTR SEMIYA R 500,2,111
DOMEX,1,110
ANIL BROKEN WHEA,2,110
TIDE 10RS,11,110
BIOGAN M,1,110
