product_name,quantity,amount
CHOCO 5RS,20,100
PICKLE 50RS,2,96
GRB 100ML,1,96
MTR GARAM 50GM,1,95
VIM 5RS,19,95
DETTOL HAND B,1,95
FLACK SEEDS,0.5,92.5
LONG BODY,2,92
GOOD KNGHT LIQUI,1,90
BATHI,9,90
PALAV MIX 10RS,9,90
LEVISTA 2RS,45,90
B L RAVA ROST,2,89
3ROSES 100G,1,87
MACRONI LOOSE,1,85
CAMPAR JAR,1,80
JEERA 50GM,2,80
CAMPAR 150RS,1,80
LAVANG 10GM,3,80
SANTOOR 10RS,8,80
MANGAL DEEP DOOP,5,79
TIDE 500GM,1,75
BLECHING POWDER,3,75
HIMALAYA FACE WA,1,75
MTR BADAM POW 20,1,75
SCBRITE 15RS,5,75
T.STICKS,0.3,75
MTR TOMOTO 15RS,5,75
CELL 16RS,4,72
MTR VANGIBATH 10,6,72
LIFE BOY 10RS,7,70
IND RAGI,1,70
YALAKI 10GM,2,70
MEERA SHAMPO 2RS,1,70
SCBRITE 10RS,7,70
B TILL 100,2,70
PALAV LEAF LOOSE,0.2,68.5
COL MAX 100GM,1,68
PONNY SPL,1,66
ANIL SEMIYA 200M,3,66
WASHING SODA,3,65
COL POWDER,1,62
FAIR N LOVELY 25,1,60
AJAY HARD,3,60
HIDE N SICK 60RS,1,60
EV TIKALAL 100,1,60
GIL PRISTO,3,60
H&S SHAMPO 2RS,30,60
KIS JAM 20RS,3,60
SOUMF 50GM,3,60
CORN FLOUR,1,55
NOODLES PLAIN,1,55
PEARS SOAP B,1,53
BALLAR DAL,0.25,52.5
BLACK ROSE 12RS,5,52.4
RAVA B,1,52
AA CHIKEN 10RS,5,50
MTR 10RS,5,50
TOMOTO SAUCE,1,50
METHI 250GM,1,48
G LABLE 100G,1,48
POWER SOAP 10RS,3,45
VIM LIQ 20RS,3,45
PARRY BROWN SUGA,1,45
ANNAS FLOWER,0.05,44
PARRY JAGARY POW,1,43
SURF XL 10RS,4,40
DOVE SOAP S,1,40
DABUR PASTE 20RS,2,40
LIZOL S,1,40
OREO 10RS,4,40
PITAMBARI 100G,1,40
AA SP 10RS,4,40
LIFE BOY REF 40R,1,38
LIRIL SOAP,1,38
YIPPEE 12RS,3,36
HORLICKS BISCUT,1,35
BAKING POW 100G,1,35
STAR KESAR,5,35
VASU BIG,1,35
MTR SEMIYA 200GM,2,34
K DEVAN 100GM,1,34
M MOGGU,0.03,32.4
VIM TUB 30RS,1,30
ROCKSALT,2,30
HING 10RS,3,30
BOOST 5RS,6,30
SURF 10RS,3,30
AA TP 100GM,1,27
MTR ROAST SEMIYA,1,26
AA CHIKEN 50GM,1,25
AA SP 50GM,1,23
PATTA 10RS,2,20
IG PULIOGARE,2,20
B THILL 50G,1,20
OMA 50GM,1,20
ACT 10RS,2,20
TIDE 10RS,2,20
FAIR N LOVELY 20,1,20
COL SALT 20RS,1,20
LAKSHMAN REKA,1,15
AA DP 100GM,0.5,15
MTR BIRIYANI 10R,1,12
GOOD DAY 10RS,1,10
TEJU 10RS,1,10
EXO 10RS,1,10
RED LABLE 10RS,1,10
HORLICKS 5RS,1,5
SubTotal,8001.712,575178.21
