product_name,quantity,amount
HORLICKS BISCUT,3,171
ARIEL F 1P,1,170
CLI SHAMPO 1RS,170,170
ARIEL FR 1LR,1,170
OREO 10RS,17,170
MR MUSEL,1,165
KARJURA 250GM,1,165
B L RAVA ROST,3,165
MTR RASAM 100G,2,165
SWARNA CHAMPA 60,3,165
COL VISIBLE,1,165
MTR G MASALA 50,3,161
ENO JAR,1,157
MTR BISIBELE 100,2,156
K DEVAN 500GM,1,155
J SOAP M,1,155
MARGO SET,1,155
QUKER OATS 400GM,2,152
OATS 15RS,10,150
PICKLE 50RS,3,146
REXONA SOAP,2,144
P CHUTE 100ML,4,143
BROOM DOUBLE,1,142
MILK MAID,1,140
TATA GOLD 250G,1,140
METHI 250GM,3,140
BROOM STEEL,1,140
MY SANDEL DOOPA,5,140
SOYA BEAN,1,137.5
MUSTARD 250G,3,136
BOOST 200GM JAR,1,135
VVD OIL 500ML,1,135
TOPRAMEN CURRY,1,135
MARRE GOLD 1KG,1,135
PURI 500GM,3,130
MY SANDL LIQ,1,130
AMRUTHAM OIL 500,1,130
PHENYLE BLACK,2,125
MTR SP 200G,1,125
SWA RAVA IDLY 1=,1,125
SWA GARAM 200,2,125
MEDIMIX S,4,124
DOVE SET 119,1,120
BROOM RED,1,120
FAIR N LOVELY 25,2,120
EV TIKALAL 100,1,120
J SOAP 55RS,2,116
AA BIRIYANI 50GM,3,116
ANIL BROKEN WHEA,2,116
U YELLU,0.5,115
M MOGGU,0.1,115
AA CP 100GM,3,115
DABUR HONEY 250G,1,115
VASU BIG,3,115
EXO ROUND B,2,114
SUNRISE 50G,1,112
BOOST 200G,1,110
SANTOOR 10RS,11,110
ACT 10RS,11,110
EA SP 100,2,108
LION DATES ARABI,1,105
BALLAR DAL,0.5,105
VIM LIQ 20RS,7,105
BOTI LOOSE,0.7,105
MTR SEMIYA 200GM,6,102
YALAKI 10GM,8.02,100.2
BROOM BLUE,1,100
BRU 2RS,50,100
CAMPAR 100RS,2,100
VIJAY IDLY RAVA,2,100
MADHUR SUGAR,2,98
TATA ROCK SALT,5,98
DRANEX 25,4,96
DETTOL HAND B,1,95
ASH CP 100,2,90
FORTUNE MUS OIL,1,90
CORN LOOSE,0.5,90
3ROSES 100G,1,88
WHISPER 88RS,1,85
EA GARAM 100,1,85
AA TP 50GM,6,81
COL SALT 20RS,4,80
HAMSA RICE,2,80
MTR PALO MASALA,1,78
MTR PAYASA MIX 1,1,77
MTR BADAM POW 10,1,77
SASHI POWDER,5,75
GOOD KNGHT LIQUI,1,75
GAR COLOR BLK PK,2,75
EV CHAT 50GM,2,74
AA GARAM 100,1,74
AA SP 50GM,3,71
DOVE SHAMP S,1,70
TEJU CK 500GM,0.5,70
JAPATRE L,0.025,70
SURF 10RS,7,70
COTHAS 100G,1,68
