product_name,quantity,amount
MANGAL DEEP DOOP,8,126
SANTOOR SET 130R,1,125
VIM SET 130,1,125
MTR SP 200G,1,125
EXO 10RS,12,125
RIN POWDER 10RS,13,123.5
SURF XL 500GM,1,122
COL BRUSH 20RS,5,122
IND DOAA MIX,1,120
SANTOOR 10RS,12,120
PHENYLE,2,120
GRB DP 100GM,4,120
MTR BADAM POW 20,1,120
AMRUTHAM OIL 500,1,120
RAVA B PKT,2,116
DABUR HONEY 250G,1,115
IDAYAM OIL 500ML,1,115
MARGO SET,1,115
COMFART 180ML,2,112
WHEEL POWDER 500,3,111
BROOM BLUE,1,110
SURF TP 500,1,110
AA GARAM 50GM,4,110
PEARS SOAP B,2,106
LAVANG L,0.1,106
ROCKSALT,6,106
CAMPAR 50RS,3,105
SH CHIKEN,2,103
ODONIL,2,100
CK COFFE 100GM,1,100
TIDE 10RS,10,100
G FLOUR,1.25,100
KARJURA 250GM,1,100
GRB TP 100GM,3.5,100
GRB 50ML,1,100
VIJAY RAGI FLOOR,2,96
PICKLE 50RS,2,96
LAVANG 10GM,6,95
RAVA(C),1.75,94.5
MEDIMIX S,3,93
SANI FRESH 1=1,1,90
BASMATHI PUALO,1,90
CAMPAR 150RS,1,90
RAGI FLOUR 1KG,2,90
MTR SEMIYA 500G,2,90
3ROSES NC 100G,1,88.57
BALLAR DAL,0.5,85
MTR PULIO 12RS,7,84
APLA 30RS,3,84
TOMOTO SAUCE,1,80
LIP BALM,2,80
TATA PINK SALT,1,80
SOUMF 100GM,2,80
KASTURI METHI 10,2,80
CASEW JH 10RS,8,80
ACT 10RS,8,80
LIFE BOY 10RS,8,80
HIMALAYA BABY CR,1,78
MALGUDI 40RS,2,78
ARIEL 500GM,1,77
GOOD KNGHT LIQUI,1,75
AA JEERA PO 50GM,3,75
SURF XL 10RS,5,75
BRU 2RS,38,74.8
L G PKT,1,74
MTR JEERA POW 50,2,74
DALDA 200ML,2,72
SSP 1G,4,72
CYCLE DOOPA 72,1,72
GOOD DAY 25RS,3,71
CAMPAR JAR,1,70
DOVE SHAMP S,1,70
AA CP 100GM,2,70
SWARNA CHAMPA 60,2,70
G LABLE 100G,2,70
P CHUTE 100ML,2,70
EVEREDAY B,2,70
REXONA SOAP,2,68
SENSODEBE BRUSH,2,67
DABUR PASTE 100G,1,65
DETTOL LIQ 100ML,1,65
RED LABELE NC 10,1,64
COL SALT 100,1,64
DOVE SOAP,1,62
PALAV LEAF LOOSE,0.2,62
MTR LIME 15RS,4,60
COMFART 4RS,15,60
PATTA 10RS,6,60
PALAV MIX 10RS,6,60
MARRE GOLD 22RS,3,60
YALAKI POWDER B,2,60
ANNAPURNA ATTA 1,1,60
APLA MASALA 70RS,1,60
SWA RAVA IDLY 1=,0.5,60
IG PULIOGARE,6,60
ANIL BROKEN WHEA,1,58
AKAR ROCK SALT,3,54
BLECHING POWDER,3,54
SWA 10RS,5,54
ANILL APLAM B,1,54
J SOAP 55RS,1,53
HIMALAYA SOAP 62,1,52
DOVE SHAMPO 2RS,25,50
YALAKI 10GM,3,50
CHETA MBOX,5,50
RED LABLE 10RS,5,49.5
B L IDLY RAVA,1,48
ENO 10RS,6,48
MANGALDEEP 50RS,1,46
FORTUNE M OIL200,1,46
CASTROL OIL 50ML,1,45
SUGAR CANDY,0.2,45
CASHEW JH,0.05,44.5
OMA 100GM,1,40
WHISPER,1,40
LIPTON G TEA,1,40
GOOD DAY 10RS,4,40
MTR RASAM 10RS,4,40
RIN 5 RS,8,40
GAR COLOR BLK PK,1,40
LAVANGA 10RS,4,40
DRY GRAPES 10RS,4,40
PICKLE 20RS,2,40
TATA GOLD 100,1,39
EV CHAT 50GM,1,38
BUDS TULIP,1,37
LIZOL S,1,36
BADAM SEEDS,0.05,35
CINTOL SOAP SET,1,34
MTR SEMIYA 200GM,2,34
ORAL BRESH 20RS,1,30
STAR KESAR,3,30
CELL 16RS,2,30
CYCLE 10RS,3,30
GINGER GARLIC 5R,6,30
GRB 10RS,3,30
BROKEN WHEAT,0.5,30
HOMELITE,3,30
MARRE GOLD 10RS,3,30
SODA,3,30
CORN FLOOR 100GM,1,25
MTR ROAST SEMIYA,1,25
PARLE G 25RS,1,25
JAGARY CUT,0.2,24
SUNRISE 2RS,12,24
MTR BISIBELE 10R,2,24
CAMPAR 20RS,2,22
ANIL SEMIYA 200M,1,22
KARJURA 500GM,0.1,22
HING 10RS,2,20
MTR 10RS,2,20
JEERA 10RS,2,20
DABUR PASTE 20RS,1,20
KIS JAM 20RS,1,20
SAIGO 100GM,1,20
BRU 10RS,2,20
MTR BIRIYANI 10R,1,12
OREO 10RS,1,10
TEJU 10RS,1,10
SCBRITE 10RS,1,10
Sub Total,7359.34,467531.14
