product_name,NOV_23_quantity,NOV_23_amount,FEB_23_quantity,FEB_23_amount,MAR_23_quantity,MAR_23_amount,JAN_24_quantity,JAN_24_amount,JAN_23_quantity,JAN_23_amount,JUNE_23_quantity,JUNE_23_amount,APRIL_23_quantity,APRIL_23_amount,SEP_23_quantity,SEP_23_amount,OCT_23_quantity,OCT_23_amount,MAY_23_quantity,MAY_23_amount,JULY_23_quantity,JULY_23_amount,AUG_23_quantity,AUG_23_amount,DEC_23_quantity,DEC_23_amount
SUNPURE 2LR,8.0,1861.0,0.0,0.0,0.0,0.0,5.0,1155.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2535.0,7.0,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,920.0
RUCHI GOLD,19.0,1776.0,139.0,14067.0,1.0,110.0,27.0,2432.0,181.0,18485.0,76.0,7125.0,18.0,1858.0,17.0,1643.0,18.0,1681.0,11.0,1127.0,22.0,2114.0,17.0,1670.0,10.0,942.0
BROKEN RAW,40.4,1757.6,0.0,0.0,0.0,0.0,38.0,1584.0,0.0,0.0,21.83,802.88,35.0,1225.0,41.7,1642.0,38.0,1598.0,26.0,939.0,40.8,1533.9,60.0,2298.0,93.5,4064.0
B L MAIDA 1KG,32.0,1733.0,6.5,335.0,0.0,0.0,28.0,1566.0,0.0,0.0,17.25,890.75,15.0,801.0,5.5,280.0,17.8,911.0,8.0,402.0,1.0,50.0,22.0,1134.0,16.5,904.0
ASH ATTA 1KG,26.0,1700.0,22.0,1405.0,0.0,0.0,25.0,1657.0,22.0,1430.0,26.0,1698.0,27.0,1755.0,23.0,1495.0,15.0,967.0,17.0,1105.0,27.0,1757.0,25.0,1610.0,28.0,1845.0
FIONA OIL,15.0,1604.5,0.0,0.0,0.0,0.0,16.0,1741.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1905.0,11.0,1187.0,0.0,0.0,0.0,0.0,4.0,440.0,28.0,3024.0
ARIEL FR 4KG,1.0,1450.0,1.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1430.0,1.0,1420.0,0.0,0.0,3.0,4220.0,2.0,2840.0,0.0,0.0,1.0,1395.0,2.0,2830.0
KOLAM OLD,21.0,1428.0,175.0,11348.0,10.0,650.0,136.0,10019.0,288.5,18643.3,102.5,6749.0,84.0,5468.5,284.34,19530.12,336.0,22738.0,152.0,9854.0,45.5,3086.0,74.4,5059.2,81.0,5811.0
TAMRAND,8.25,1427.5,8.27,1334.95,0.5,80.0,16.7,3030.75,8.95,1439.0,3.15,508.0,2.36,386.35,4.95,856.5,8.25,1423.75,6.1,947.25,5.0,803.5,8.35,1363.0,8.55,1509.75
WHEEL POWDER 1KG,19.0,1408.0,18.0,1332.0,0.0,0.0,35.0,2580.0,11.0,806.0,12.0,888.0,18.0,1334.0,17.0,1250.0,19.0,1406.0,20.0,1480.0,20.0,1484.0,16.0,1186.0,10.0,740.0
KRISHNA ATTA 5KG,3.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RED LABEL NC 500,4.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,315.0,1.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,332.0,0.0,0.0,0.0,0.0
RAGI,29.7,1339.5,44.5,1740.25,0.25,10.0,49.45,2644.75,50.15,1971.2,9.25,391.0,5.3,206.4,15.5,698.75,3.1,140.25,117.0,4530.0,45.25,1780.0,52.6,2340.9,82.25,3702.5
RAJMOUDI RICE,15.47,1330.42,27.15,1629.0,0.0,0.0,22.0,1982.0,109.5,6679.0,111.0,6870.0,59.3,3558.0,29.0,2004.0,2.0,160.0,62.25,3585.0,50.5,3107.5,72.87,4869.91,25.25,2291.5
ZEERA RICE FINE,11.0,1271.0,2.0,235.0,2.0,230.0,7.5,873.5,9.0,1045.5,7.5,886.5,4.0,466.0,6.0,706.5,11.0,1290.5,11.0,1289.5,4.0,454.0,6.0,699.0,6.4,737.0
APLA 70RS,21.0,1271.0,16.0,960.0,0.0,0.0,15.0,910.0,18.0,1035.0,5.0,300.0,8.0,425.0,10.0,600.0,9.0,525.0,19.0,1167.0,9.0,520.0,12.0,710.0,4.0,218.0
MTR SEMIYA 900G,18.0,1268.0,6.0,510.0,0.0,0.0,4.0,280.0,2.0,140.0,42.0,3030.0,3.0,213.0,15.0,1115.0,17.0,1195.0,11.0,721.0,2.0,136.0,27.0,1900.0,4.0,290.0
B L RAGI FLOOR,25.0,1260.0,0.0,0.0,0.0,0.0,25.0,1363.0,0.0,0.0,29.0,1424.0,62.0,3113.0,37.0,1836.0,38.0,1930.0,19.0,915.0,32.0,1544.0,55.0,2726.0,52.5,2836.5
NANDINI 1LR,2.0,1255.0,8.0,4640.0,0.0,0.0,8.0,5020.0,4.0,2300.0,4.0,2391.0,2.0,1195.0,4.0,2535.0,10.0,6380.0,10.0,5950.0,1.0,600.0,6.0,3630.0,7.0,4445.0
HARPIC 500ML,13.0,1249.0,10.0,947.0,0.0,0.0,12.0,1254.0,7.0,660.0,10.0,1004.0,10.0,1009.0,9.0,899.0,8.0,774.0,8.0,826.0,5.0,489.0,8.5,774.0,10.0,960.0
SANTOOR 38RS,36.0,1246.5,15.0,525.0,0.0,0.0,35.0,1226.5,16.0,560.0,37.0,1299.0,12.0,420.0,35.0,1210.0,12.0,441.0,19.0,665.0,24.0,846.0,32.0,1111.0,25.0,863.5
CASHEW JH,1.4,1241.0,3.85,3291.5,0.1,85.0,2.0,1764.75,4.18,3528.75,0.05,42.5,0.05,44.5,0.2,180.0,0.225,198.5,0.0,0.0,0.4,355.0,1.18,1053.1,2.725,2299.25
VIM 33RS,39.0,1169.0,5.0,151.5,5.0,135.0,20.0,579.6,8.0,252.0,15.0,449.0,7.0,216.0,38.0,1150.5,31.0,966.5,20.0,651.8,7.0,207.0,21.0,652.5,28.0,839.5
COL PASTE 100GM,17.0,1150.0,6.0,381.0,0.0,0.0,12.0,804.0,12.0,764.0,5.0,335.0,6.0,380.0,8.0,527.0,9.0,568.0,5.0,323.0,7.0,469.0,21.0,1417.0,7.1,475.7
MTR JAMUN OFFRR,8.0,1120.0,3.5,455.0,0.0,0.0,2.5,350.0,7.0,910.0,7.0,980.0,1.0,140.0,5.5,760.0,4.0,560.0,5.0,700.0,4.0,555.0,9.0,1290.0,10.0,1427.0
B L BANSI 1KG,20.0,1107.0,0.0,0.0,0.0,0.0,25.5,1469.0,0.0,0.0,46.5,2507.5,20.0,1119.0,24.0,1335.0,22.5,1237.0,47.0,2557.0,14.5,811.5,27.0,1497.0,20.0,1153.0
TATA SALT,40.0,1078.0,15.0,405.0,0.0,0.0,63.0,1701.0,19.0,511.0,16.0,432.0,9.0,243.0,36.0,976.0,23.0,621.0,31.0,834.0,35.0,942.0,56.0,1509.0,34.0,987.0
IDLY RICE,24.0,1074.0,36.5,1580.5,0.0,0.0,33.0,1630.0,30.0,1226.0,86.0,3550.0,39.5,1585.0,117.0,5156.5,52.25,2343.0,26.0,1056.0,29.75,1225.0,79.0,3480.0,14.5,675.0
CHILLI [B],1.5,1069.0,15.3,7918.0,0.5,260.0,4.7,2912.5,6.71,3910.7,5.25,3704.25,12.65,9344.0,7.2,5290.0,4.25,2969.0,9.8,6859.8,2.4,1744.0,7.4,5368.5,11.62,7566.85
POPPY SEEDS 100G,5.5,1067.5,6.0,1040.0,0.0,0.0,2.0,370.0,10.0,1650.0,3.0,570.0,4.0,736.0,16.0,3005.0,8.0,1490.0,10.0,1820.0,0.0,0.0,15.0,2750.0,8.0,1480.0
ARIEL FR 2L,3.0,1060.0,0.0,0.0,0.0,0.0,2.0,890.0,0.0,0.0,5.0,2275.0,2.0,935.0,1.0,460.0,3.0,1380.0,0.0,0.0,5.0,2325.0,5.0,2355.0,0.0,0.0
ANIL RICE 500GM,14.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,1.0,68.0,2.0,136.0
FREEDOM 10LR,4.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2290.0
YALAKI FINE,0.425,1040.0,0.0,0.0,0.0,0.0,0.725,2086.25,0.0,0.0,0.25,641.0,0.17,459.0,0.24,696.0,0.635,1636.5,0.2,503.75,0.0,0.0,0.47,1171.0,1.81,4007.75
SURF XL 35RS,28.0,980.0,8.0,278.4,0.0,0.0,15.0,525.0,13.0,452.4,33.0,1155.0,18.0,626.0,10.0,346.5,20.0,697.1,7.0,245.0,16.0,559.0,21.0,735.0,22.0,766.0
ANIL SEMIYA 500G,17.0,969.0,10.0,550.0,0.0,0.0,12.0,684.0,3.0,161.0,23.0,1332.0,9.0,496.0,11.0,629.0,23.0,1391.0,28.0,1540.0,11.0,627.0,22.0,1260.0,11.0,627.0
MUSTARD FINE 100,39.0,965.0,0.0,0.0,0.0,0.0,36.0,854.0,0.0,0.0,26.0,544.0,35.0,714.0,39.0,947.0,31.0,758.0,49.0,1014.0,42.0,928.0,41.0,914.0,46.0,1136.0
MY SANDEL SET,4.0,940.0,7.0,1625.0,0.0,0.0,1.0,235.0,0.0,0.0,0.0,0.0,1.0,235.0,0.0,0.0,2.0,475.0,4.0,953.0,3.0,716.0,6.0,1417.0,3.0,718.0
BADAM SEEDS 250G,5.0,940.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,7.0,1365.0,1.0,235.0,2.0,440.0,2.0,400.0,2.0,380.0,5.0,1020.0,7.0,1475.0,2.0,390.0
CASHEW FULL,1.0,940.0,0.2,175.0,0.0,0.0,0.0,0.0,0.45,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1760.0,2.0,1880.0,0.0,0.0,0.0,0.0
RED RAW,14.0,937.0,0.0,0.0,0.0,0.0,1.0,59.0,10.0,600.0,0.0,0.0,2.5,150.0,15.5,967.5,4.5,292.5,5.0,325.0,16.0,1022.0,3.0,190.0,18.5,1207.0
TIDE 1 KG,6.0,930.0,9.0,1295.0,0.0,0.0,7.0,1085.0,5.0,720.0,7.0,1054.0,6.0,850.0,2.0,310.0,8.0,1240.0,7.0,1003.0,4.0,604.0,6.0,890.0,8.0,1246.0
MTR CP 100GM,20.0,918.0,2.0,101.0,0.0,0.0,21.5,947.0,1.0,45.0,3.0,140.0,4.0,175.0,7.0,318.0,7.0,318.0,12.0,540.0,7.0,337.0,16.0,729.0,15.0,721.5
COMFART 800ML,4.0,900.0,1.0,225.0,0.0,0.0,4.0,895.0,2.0,425.0,11.0,2475.0,3.0,675.0,6.0,1345.0,4.0,900.0,0.0,0.0,10.0,2250.0,8.0,1800.0,6.0,1355.0
URID GOLA,6.0,898.0,18.25,2206.5,1.5,180.0,23.75,3502.0,29.5,3546.5,11.0,1418.0,14.75,1882.0,13.5,1790.0,7.5,1058.0,8.4,1060.75,8.25,1076.5,42.7,5548.5,12.4,1844.7
MASUR DALL,8.75,885.0,4.4,484.0,0.0,0.0,3.7,374.5,11.0,1195.0,1.5,165.0,3.5,385.0,9.255,980.53,11.15,1136.25,2.0,210.0,7.75,831.25,7.75,804.5,12.25,1245.0
3ROSES 250G,4.0,868.0,0.0,0.0,0.0,0.0,2.0,434.0,1.0,205.0,2.0,435.0,3.0,621.0,3.0,651.0,3.0,651.0,2.0,422.0,2.0,434.0,1.0,217.0,4.0,868.0
SURF FR 1LR,5.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,700.0,0.0,0.0,2.0,460.0,7.0,1190.0,1.0,240.0,0.0,0.0,1.0,245.0,1.0,180.0
B L CHIROTI 500G,29.0,838.0,0.0,0.0,0.0,0.0,31.0,889.0,22.0,598.0,41.0,1155.0,16.0,469.0,15.0,436.0,30.0,854.0,18.0,502.0,14.0,402.0,57.5,1660.0,33.0,1004.0
RIN POWDER 1,8.0,833.0,2.0,190.0,0.0,0.0,3.0,308.0,0.0,0.0,6.0,600.0,3.0,300.0,6.0,600.0,8.0,809.0,4.0,400.0,3.0,300.0,11.0,1100.0,5.0,521.0
GALA BROOM 210,5.0,810.0,0.0,0.0,0.0,0.0,3.0,555.0,0.0,0.0,0.0,0.0,1.0,170.0,0.0,0.0,3.0,575.0,2.0,350.0,2.0,390.0,1.0,190.0,1.0,190.0
BULLET 10KG,1.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA SP 100GM,12.0,800.0,3.0,145.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,3.0,142.0,4.0,200.0,3.0,148.0,1.5,72.0,2.0,95.0,4.0,196.0,7.0,352.0
KRISHNA 500ML,2.0,798.0,1.0,385.0,0.0,0.0,4.0,1625.0,1.0,360.0,1.0,390.0,0.0,0.0,3.0,1230.0,3.0,1196.0,2.0,793.0,5.0,2015.0,1.0,398.0,4.0,1625.0
SAFOLA GOLD,5.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160.0,0.0,0.0,0.0,0.0,2.0,350.0,1.0,165.0,0.0,0.0,5.0,760.0,0.0,0.0
AMRUTHAM OIL 1LR,3.0,780.0,1.0,245.0,0.0,0.0,0.0,0.0,3.0,570.0,2.0,470.0,3.0,735.0,0.0,0.0,6.0,1356.0,1.0,245.0,0.0,0.0,9.0,2205.0,13.0,3145.0
VIM LIQ 750ML,4.0,775.0,0.0,0.0,0.0,0.0,6.0,1150.0,1.0,185.0,4.0,760.0,2.0,385.0,5.0,945.0,3.0,570.0,2.0,383.0,1.0,195.0,0.0,0.0,1.0,190.0
